Category,Title,Label,Date,URL,Content
culture,الفيديو قديم ولم يطلب محمد رمضان من المصريين عدم الاهتمام بما يحدث في غزة,fake,19 فبراير 2024,https://misbar.com/factcheck/2024/02/19/%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%82%D8%AF%D9%8A%D9%85-%D9%88%D9%84%D9%85-%D9%8A%D8%B7%D9%84%D8%A8-%D9%85%D8%AD%D9%85%D8%AF-%D8%B1%D9%85%D8%B6%D8%A7%D9%86-%D9%85%D9%86-%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A%D9%8A%D9%86-%D8%B9%D8%AF%D9%85-%D8%A7%D9%84%D8%A7%D9%87%D8%AA%D9%85%D8%A7%D9%85-%D8%A8%D9%85%D8%A7-%D9%8A%D8%AD%D8%AF%D8%AB-%D9%81%D9%8A-%D8%BA%D8%B2%D8%A9,تتداول حسابات وصفحات على مواقع التواصل الاجتماعي، حديثًا، مقطع فيديو للفنان المصري محمد رمضان ادعى متداولوه أنه يطالب من خلاله المصريين بعدم الاهتمام بما يحدث في قطاع غزة والتركيز على ما يحدث في مصر فقط، بالتزامن مع الحرب الجارية على القطاع. اسمعوا البغل محمد رمضان ماذا يقول يشجع المصريين علي عدم الاهتمام بما يجرى في غزه pic.twitter.com/AWiJzf4MKY
culture,الفيديو من عام 2020 وليس لظهور الفنان المصري إيمان البحر درويش حديثًا,fake,19 فبراير 2024,https://misbar.com/factcheck/2024/02/19/%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%85%D9%86-%D8%B9%D8%A7%D9%85-2020-%D9%88%D9%84%D9%8A%D8%B3-%D9%84%D8%B8%D9%87%D9%88%D8%B1-%D8%A7%D9%84%D9%81%D9%86%D8%A7%D9%86-%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A-%D8%A5%D9%8A%D9%85%D8%A7%D9%86-%D8%A7%D9%84%D8%A8%D8%AD%D8%B1-%D8%AF%D8%B1%D9%88%D9%8A%D8%B4-%D8%AD%D8%AF%D9%8A%D8%AB%D8%A7,"تتداول حسابات وصفحات على موقع التواصل الاجتماعي إكس، حديثًا، مقطع فيديو ادعى متداولوه أنّه من أوّل ظهور للفنان المصري إيمان البحر درويش، بعد ظهوره الأخير وهو مريض بسبب الاعتقال والمنع من العلاج. اول ظهور لــ #إيمان_البحر_درويش

بعد ظهورة الأخير وهو مريض بسبب الإعتــ ـقال والمنع من العلاج ولكن ابنته تصدت لذلك لحماية والدها

حمد لله ع السلامة ي بطل🤍

بالرغم من التجربة القاسية التي مر بها
ولكن عندما ظهر تكلم عن الظلم ايضاً وانذر الظلمة من عقاب الله عز وجل👌 pic.twitter.com/OrvFNINOHx"
culture,الفيديو قديم وليس لوجود محمد سلام في ملهى ليلي تزامنًا مع العدوان على غزة,fake,2 نوفمبر 2023,https://misbar.com/factcheck/2023/11/02/%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%82%D8%AF%D9%8A%D9%85-%D9%88%D9%84%D9%8A%D8%B3-%D9%84%D9%88%D8%AC%D9%88%D8%AF-%D9%85%D8%AD%D9%85%D8%AF-%D8%B3%D9%84%D8%A7%D9%85-%D9%81%D9%8A-%D9%85%D9%84%D9%87-%D9%84%D9%8A%D9%84%D9%8A-%D8%AA%D8%B2%D8%A7%D9%85%D9%86%D8%A7-%D9%85%D8%B9-%D8%A7%D9%84%D8%B9%D8%AF%D9%88%D8%A7%D9%86-%D8%B9%D9%84-%D8%BA%D8%B2%D8%A9,"تتداول حسابات وصفحات على موقع التواصل الاجتماعي إكس، حديثًا، مقطع فيديو للفنان المصري محمد سلام، وادّعت أنه من تواجده في ملهى ليلي تزامنًا مع العدوان الإسرائيلي المستمر على غزة، ذلك بعد إعلان انسحابه من المشاركة في مسرحية في العاصمة السعودية الرياض تضامنًا مع غزة. مشهد من حفل

استقبال البطل القومي المصري
""محمد سلام""

فاتح القدس ومحرر فلسطين…

pic.twitter.com/dkZj9Jq7yq"
culture,ديانا حداد لم تعتزل الغناء بعد اعتناقها الإسلام,fake,4 أكتوبر 2023,https://misbar.com/factcheck/2023/10/04/%D8%AF%D9%8A%D8%A7%D9%86%D8%A7-%D8%AD%D8%AF%D8%A7%D8%AF-%D9%84%D9%85-%D8%AA%D8%B9%D8%AA%D8%B2%D9%84-%D8%A7%D9%84%D8%BA%D9%86%D8%A7%D8%A1-%D8%A8%D8%B9%D8%AF-%D8%A7%D8%B9%D8%AA%D9%86%D8%A7%D9%82%D9%87%D8%A7-%D8%A7%D9%84%D8%A5%D8%B3%D9%84%D8%A7%D9%85,تتداول حسابات وصفحات على مواقع التواصل الاجتماعي، حديثًا، خبرًا مفاده اعتزال الفنانة اللبنانية ديانا حداد الغناء بعد اعتناقها الدين الإسلامي. وأرفق الناشرون الخبر بصورة لحداد برفقة ابنها وهما في الحرم المكي.
culture,الفيديو تصميم فني وليس لأخطبوط تسلّل إلى موقف سيارات في قطر,fake,30 سبتمبر 2023,https://misbar.com/factcheck/2023/09/30/%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%81%D9%86%D9%8A-%D9%88%D9%84%D9%8A%D8%B3-%D9%84%D8%A3%D8%AE%D8%B7%D8%A8%D9%88%D8%B7-%D8%AA%D8%B3%D9%84%D9%84-%D8%A5%D9%84-%D9%85%D9%88%D9%82%D9%81-%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA-%D9%81%D9%8A-%D9%82%D8%B7%D8%B1,تتداول حسابات على مواقع التواصل الاجتماعي، حديثًا، مقطع فيديو يدّعي ناشروه أنّه لأخطبوط خرج من البحر في قطر وتسلل إلى موقف سيارات، ثم حطّم سيارة رانج روفر. في قطر أخطبوط طلع من البحر على موقف سيارات 😬 pic.twitter.com/2Xq6jB0qDR
culture,المشاهد من داخل مقبرة بيت شعاريم في حيفا وليست لمقابر ملكيّة في اليمن,fake,29 سبتمبر 2023,https://misbar.com/factcheck/2023/09/29/%D8%A7%D9%84%D9%85%D8%B4%D8%A7%D9%87%D8%AF-%D9%85%D9%86-%D8%AF%D8%A7%D8%AE%D9%84-%D9%85%D9%82%D8%A8%D8%B1%D8%A9-%D8%A8%D9%8A%D8%AA-%D8%B4%D8%B9%D8%A7%D8%B1%D9%8A%D9%85-%D9%81%D9%8A-%D8%AD%D9%8A%D9%81%D8%A7-%D9%88%D9%84%D9%8A%D8%B3%D8%AA-%D9%84%D9%85%D9%82%D8%A7%D8%A8%D8%B1-%D9%85%D9%84%D9%83%D9%8A%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%8A%D9%85%D9%86,تتداول صفحات وحسابات على مواقع التواصل الاجتماعي، حديثًا، مقطع فيديو ادّعى ناشروه أنّه لمقبرة ملكية اكتُشِفت في منطقة الحداء في محافظة ذمار وسط اليمن، كما رُكّب على بعض المقاطع تسجيل صوتي لأشخاص يتحدّثون اللهجة اليمنية.
culture,سلاف فواخرجي صُنّفت كثامن أجمل امرأة سوريّة وليس في العالم,fake,28 سبتمبر 2023,https://misbar.com/factcheck/2023/09/28/%D8%B3%D9%84%D8%A7%D9%81-%D9%81%D9%88%D8%A7%D8%AE%D8%B1%D8%AC%D9%8A-%D8%B5%D9%86%D9%81%D8%AA-%D9%83%D8%AB%D8%A7%D9%85%D9%86-%D8%A3%D8%AC%D9%85%D9%84-%D8%A7%D9%85%D8%B1%D8%A3%D8%A9-%D8%B3%D9%88%D8%B1%D9%8A%D8%A9-%D9%88%D9%84%D9%8A%D8%B3-%D9%81%D9%8A-%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85,تتداول  صفحات وحسابات  على موقع التواصل الاجتماعي فيسبوك، حديثًا، خبرًا مفاده تصنيف الممثلة السورية سلاف فواخرجي كثامن أجمل امرأة في العالم، لكونها لم تخضع لأي عملية تجميل.
culture,الفيديو معدّل رقميًّا وليس لظاهرة غريبة تبدو فيها النيران تخرج من البحر,fake,24 سبتمبر 2023,https://misbar.com/factcheck/2023/09/24/%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%85%D8%B9%D8%AF%D9%84-%D8%B1%D9%82%D9%85%D9%8A%D8%A7-%D9%88%D9%84%D9%8A%D8%B3-%D9%84%D8%B8%D8%A7%D9%87%D8%B1%D8%A9-%D8%BA%D8%B1%D9%8A%D8%A8%D8%A9-%D8%AA%D8%A8%D8%AF%D9%88-%D9%81%D9%8A%D9%87%D8%A7-%D8%A7%D9%84%D9%86%D9%8A%D8%B1%D8%A7%D9%86-%D8%AA%D8%AE%D8%B1%D8%AC-%D9%85%D9%86-%D8%A7%D9%84%D8%A8%D8%AD%D8%B1,تتداول حسابات وصفحات على مواقع التواصل الاجتماعي، حديثًا، مقطع فيديو تبدو فيه النيران تخرج من البحر، ادعت أنه لظاهرة غريبة غامضة غير قابلة للتفسير، بدأت تظهر ولم تكن تحدث في الماضي.
culture,الحوار المنسوب للفنانة إنعام سالوسة مع منى الشاذلي مُختلق,fake,3 سبتمبر 2023,https://misbar.com/factcheck/2023/09/03/%D8%A7%D9%84%D8%AD%D9%88%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D9%86%D8%B3%D9%88%D8%A8-%D9%84%D9%84%D9%81%D9%86%D8%A7%D9%86%D8%A9-%D8%A5%D9%86%D8%B9%D8%A7%D9%85-%D8%B3%D8%A7%D9%84%D9%88%D8%B3%D8%A9-%D9%85%D8%B9-%D9%85%D9%86-%D8%A7%D9%84%D8%B4%D8%A7%D8%B0%D9%84%D9%8A-%D9%85%D8%AE%D8%AA%D9%84%D9%82,"تتداول حسابات وصفحات على موقع التواصل الاجتماعي فيسبوك، حديثًا، حوارًا ادعت أنه جاء ضمن لقاء للمذيعة منى الشاذلي مع الفنانة المصرية إنعام سالوسة حول ديانة الأخيرة، ويزعم أن الشاذلي قالت لها ""كنت فاكرة حضرتك مسيحية؟""، لترد عليها سالوسة ثم يدور الحوار بين الثنائي عن الأمر."
culture,صور مولدة بالذكاء الاصطناعي لجزيرة سانتوريني اليونانية وليست حقيقية,fake,30 أغسطس 2023,https://misbar.com/factcheck/2023/08/30/%D8%B5%D9%88%D8%B1-%D9%85%D9%88%D9%84%D8%AF%D8%A9-%D8%A8%D8%A7%D9%84%D8%B0%D9%83%D8%A7%D8%A1-%D8%A7%D9%84%D8%A7%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A-%D9%84%D8%AC%D8%B2%D9%8A%D8%B1%D8%A9-%D8%B3%D8%A7%D9%86%D8%AA%D9%88%D8%B1%D9%8A%D9%86%D9%8A-%D8%A7%D9%84%D9%8A%D9%88%D9%86%D8%A7%D9%86%D9%8A%D8%A9-%D9%88%D9%84%D9%8A%D8%B3%D8%AA-%D8%AD%D9%82%D9%8A%D9%82%D9%8A%D8%A9,تتداول حسابات وصفحات على مواقع التواصل الاجتماعي، حديثًا، صورًا ادعت أنها تُظهر جزيرة سانتوريني اليونانية الواقعة في جنوبي بحر إيجة.
