title,label,category_name,article_content,article_date,TOPIC
ما حقيقة مقتل اللاجئ العراقي سلوان موميكا في النرويج؟,fake,كذب,"
",,Politics
الفيديو قديم وليس لفلسطينيين يزيفون جنازة لجذب انتباه وسائل الإعلام,fake,كذب,"
",الخميس 14 كانون أول 2023,Politics
الصورة قديمة وليست لفتاة قامت بدهس حبيبها السابق في القامشلي,fake,كذب,"
",الخميس 03 آب 2023,Politics
هل ستعيد KfC افتتاح فروعاً لها في سوريا مجدداً؟,fake,كذب,"
",الأربعاء 19 نيسان 2023,Politics
هل أشاد ليونيل ميسي بمستوى اللاعب السوري عمر السومة؟,fake,كذب,"
",الأحد 22 كانون ثاني 2023,Politics
"هل أدان ""الاتحاد العالمي لعلماء المسلمين"" الاعتداء على رجال الأمن في إيران؟",fake,كذب,"
",السبت 05 تشرين ثاني 2022,Politics
هل نفت لونا الشبل دعم النظام السوري لـ راجي فلحوط في السويداء؟,fake,كذب,"
",الأربعاء 27 تموز 2022,Politics
"ما حقيقة تعليق ""أبو تريكة"" على مقتل شيرين أبو عاقلة؟",fake,كذب,"
",الخميس 12 أيار 2022,Politics
هل تُظهر هذه الصورة جثث من الجيش الروسي على شكل حرف Z في أوكرانيا؟,fake,كذب,"
",الأحد 13 آذار 2022,Politics
هل شبهت مجلة التايم الأمريكية بوتين بهتلر في غلاف عددها الجديد؟,fake,كذب,"
",الاثنين 28 شباط 2022,Politics
هل تحدث ليوناردو دي كابريو عن الطفل ريان مقارناً إياه بالمشردين في أمريكا؟,fake,كذب,"
",الخميس 10 شباط 2022,Politics
هل حصل جورج قرداحي على مكافأة نهاية خدمة مليونية من MBC؟,fake,كذب,"
",الخميس 18 تشرين ثاني 2021,Politics
"هل صرح المتحدث باسم الرئيس التركي بأن بقاء الأسد بات أمراً محتوماً وتركيا تعجز عن مواجهة ""الجيش السوري""؟",fake,كذب,"
",الأحد 03 تشرين أول 2021,Politics
"هل قال رئيس برلمان النظام السوري إنَّ ""ربطة خبر واحدة تكفي باليوم""؟",fake,كذب,"
",الثلاثاء 31 آب 2021,Politics
"هل قال خبير اقتصادي أمريكي إن ""سوريا فيها ثروات تكفي لعيش 80 مليون نسمة""؟",fake,كذب,"
",الجمعة 23 تموز 2021,Politics
القضاء الفرنسي لم يفرج عن الشاب الذي صفع وجه ماكرون,fake,كذب,"
",الخميس 10 حزيران 2021,Politics
هل قتل عناصر من الجيش التركي نتيجة انفجار لغمين في ريف الحسكة مؤخراً؟,fake,كذب,"
",الأربعاء 07 نيسان 2021,Politics
هل رفض محافظ اللاذقية طلب تنظيم وقفة احتجاجية ضد السياسات الحكومية في سوريا؟,fake,كذب,"
",السبت 13 شباط 2021,Politics
هل وزع الممثل الهندي عامر خان مبالغ مالية على الفقراء داخل أكياس طحين؟,fake,كذب,"
",الاثنين 11 كانون ثاني 2021,Politics
ما حقيقة إصدار قطر قانوناً يمنع ركوب السيارات من موديل 2006 وما قبل؟,fake,كذب,"
",الجمعة 30 تشرين أول 2020,Politics
الإعلامي مروان صواف حي يرزق ولا صحة لخبر وفاته,fake,كذب,"
",السبت 05 أيلول 2020,Politics
"هل خرجت مظاهرة مناهضة للنظام في ""جرمانا"" بريف دمشق مؤخراً؟",fake,كذب,"
",الثلاثاء 09 حزيران 2020,Politics
